sample_id	Status	batch
Ref8537_S4_20230414	1	0
Ref8537_S8_20230414	1	0
Ref8537_S11_20230414	1	0
Ref8537_S18_20230414	1	0
Ref8537_S21_20230414	1	0
Ref8537_S26_20230414	1	0
Ref8537_S35_20230414	1	0
Ref8537_S37_20230414	1	0
Ref8537_S45_20230414	1	0
Ref8537_S49_20230414	1	0
Ref8537_S52_20230414	0	0
Ref8537_S60_20230414	0	0
Ref8537_S65_20230414	0	0
Ref8537_S69_20230414	0	0
Ref8537_S75_20230414	0	0
Ref8537_S79_20230414	0	0
Ref8537_S82_20230414	0	0
Ref8537_S88_20230414	0	0
Ref8537_S94_20230414	0	0
Ref8537_S100_20230414	0	0
Clinspect_E_coli_A_S5_Slot1_7_1_8641	1	1
Clinspect_E_coli_A_S7_Slot1_24_1_8673	1	1
Clinspect_E_coli_A_S14_Slot1_11_1_8645	1	1
Clinspect_E_coli_A_S20_Slot1_20_1_8669	1	1
Clinspect_E_coli_A_S23_Slot1_8_1_8642	1	1
Clinspect_E_coli_A_S29_Slot1_19_1_8667	1	1
Clinspect_E_coli_A_S34_Slot1_18_1_8666	1	1
Clinspect_E_coli_A_S39_Slot1_26_1_8675	1	1
Clinspect_E_coli_A_S42_Slot1_21_1_8670	1	1
Clinspect_E_coli_A_S47_Slot1_14_1_8648	1	1
Clinspect_E_coli_B_S53_Slot1_22_1_8671	0	1
Clinspect_E_coli_B_S58_Slot1_5_1_8639	0	1
Clinspect_E_coli_B_S62_Slot1_16_1_8664	0	1
Clinspect_E_coli_B_S66_Slot1_13_1_8647	0	1
Clinspect_E_coli_B_S78_Slot1_17_1_8665	0	1
Clinspect_E_coli_B_S85_Slot1_12_1_8646	0	1
Clinspect_E_coli_B_S86_Slot1_4_1_8638	0	1
Clinspect_E_coli_B_S91_Slot1_25_1_8674	0	1
Clinspect_E_coli_B_S98_Slot1_9_1_8643	0	1
BBM_673_P283_01_VEB_001_R4	1	2
BBM_673_P283_01_VEB_002_R3	1	2
BBM_673_P283_01_VEB_003_R3	1	2
BBM_673_P283_01_VEB_004_R3	1	2
BBM_673_P283_01_VEB_005_R3	1	2
BBM_673_P283_01_VEB_006_R2	1	2
BBM_673_P283_01_VEB_007_R2	1	2
BBM_673_P283_01_VEB_009_R2	1	2
BBM_673_P283_01_VEB_010_R2	1	2
BBM_673_P283_01_VEB_013_R2	0	2
BBM_673_P283_01_VEB_014_R2	0	2
BBM_673_P283_01_VEB_015_R2	0	2
BBM_673_P283_01_VEB_016_R2	0	2
BBM_673_P283_01_VEB_017_R2	0	2
BBM_673_P283_01_VEB_018_R2	0	2
BBM_673_P283_01_VEB_019_R2	0	2
BBM_673_P283_01_VEB_020_R2	0	2
BBM_673_P283_01_VEB_021_R2	0	2
BBM_673_P283_01_VEB_022_R3	0	2
S20230516_EXPL1_LiSc_SA_S610_RT_25_s2	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_26_s9	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_27_s12	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_28_s17	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_29_s24	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_30_s30	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_31_s33	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_32_s38	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_33_s44	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_34_s48	1	3
S20230516_EXPL1_LiSc_SA_S610_RT_35_s51	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_36_s56	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_37_s63	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_38_s68	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_39_s72	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_40_s80	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_41_s81	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_42_s89	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_43_s92	0	3
S20230516_EXPL1_LiSc_SA_S610_RT_44_s96	0	3
CVT09_s3_X002	1	4
CVT09_s10_X003	1	4
CVT09_s13_X004	1	4
CVT09_s16_X005	1	4
CVT09_s25_X006	1	4
CVT09_s28_X007	1	4
CVT09_s31_X008	1	4
CVT09_s36_X009	1	4
CVT09_s41_X010	1	4
CVT09_s50_X011	1	4
CVT09_s55_X012	0	4
CVT09_s59_X013	0	4
CVT09_s61_X014	0	4
CVT09_s67_X015	0	4
CVT09_s73_X016	0	4
CVT09_s77_X017	0	4
CVT09_s84_X018	0	4
CVT09_s90_X019	0	4
CVT09_s93_X020	0	4
CVT09_s99_X021	0	4
