sample_id	Status	batch
Clinspect_E_coli_A_S5_Slot1_7_1_8641	1	1
Clinspect_E_coli_A_S7_Slot1_24_1_8673	1	1
Clinspect_E_coli_A_S14_Slot1_11_1_8645	1	1
Clinspect_E_coli_A_S20_Slot1_20_1_8669	1	1
Clinspect_E_coli_A_S23_Slot1_8_1_8642	1	1
Clinspect_E_coli_A_S29_Slot1_19_1_8667	1	1
Clinspect_E_coli_A_S34_Slot1_18_1_8666	1	1
Clinspect_E_coli_A_S39_Slot1_26_1_8675	1	1
Clinspect_E_coli_A_S42_Slot1_21_1_8670	1	1
Clinspect_E_coli_A_S47_Slot1_14_1_8648	1	1
Clinspect_E_coli_B_S53_Slot1_22_1_8671	0	1
Clinspect_E_coli_B_S58_Slot1_5_1_8639	0	1
Clinspect_E_coli_B_S62_Slot1_16_1_8664	0	1
Clinspect_E_coli_B_S66_Slot1_13_1_8647	0	1
Clinspect_E_coli_B_S78_Slot1_17_1_8665	0	1
Clinspect_E_coli_B_S85_Slot1_12_1_8646	0	1
Clinspect_E_coli_B_S86_Slot1_4_1_8638	0	1
Clinspect_E_coli_B_S91_Slot1_25_1_8674	0	1
Clinspect_E_coli_B_S98_Slot1_9_1_8643	0	1
